datetime,windspeed,winddir
2022-12-08,26.0,71.2
2022-12-09,19.8,45.3
2022-12-10,17.2,303.1
2022-12-11,21.7,1.7
2022-12-12,13.5,56.5
2022-12-13,15.2,13.0
2022-12-14,17.2,293.2
2022-12-15,22.0,310.5
2022-12-16,19.5,355.6
2022-12-17,30.5,243.8
2022-12-18,17.9,290.3
2022-12-19,23.8,327.9
2022-12-20,17.3,331.0
2022-12-21,18.9,52.6
2022-12-22,18.6,29.8
2022-12-23,14.9,285.1
2022-12-24,16.9,293.3
2022-12-25,31.5,287.9
2022-12-26,30.1,345.5
2022-12-27,18.5,1.7
2022-12-28,35.5,358.2
2022-12-29,21.3,209.5
2022-12-30,22.8,104.3
2022-12-31,16.6,20.4
2023-01-01,19.3,19.8
2023-01-02,17.1,304.2
2023-01-03,19.4,285.2
2023-01-04,19.1,292.4
2023-01-05,17.7,60.5
2023-01-06,33.2,97.2
2023-01-07,22.2,97.0
2023-01-08,17.7,44.6
2023-01-09,15.4,325.7
2023-01-10,14.0,132.8
2023-01-11,23.8,69.0
2023-01-12,29.4,71.3
2023-01-13,13.1,29.1
2023-01-14,11.6,38.4
2023-01-15,12.9,16.2
2023-01-16,16.3,47.8
2023-01-17,14.6,353.6
2023-01-18,18.4,350.2
2023-01-19,14.1,346.8
2023-01-20,13.4,72.2
2023-01-21,13.4,69.2
2023-01-22,19.0,80.9
2023-01-23,18.9,62.4
2023-01-24,14.6,21.9
2023-01-25,26.8,94.9
2023-01-26,21.8,98.2
2023-01-27,17.8,147.4
2023-01-28,16.4,189.4
2023-01-29,26.9,79.7
2023-01-30,26.8,354.1
2023-01-31,28.3,357.2
2023-02-01,13.8,8.5
2023-02-02,22.4,17.7
2023-02-03,16.3,8.6
2023-02-04,20.0,89.3
2023-02-05,10.4,52.0
2023-02-06,15.6,107.7
2023-02-07,16.6,92.3
2023-02-08,20.5,131.5
2023-02-09,18.4,20.6
2023-02-10,13.6,109.7
2023-02-11,22.2,84.1
2023-02-12,15.3,25.8
2023-02-13,15.6,95.5
2023-02-14,18.4,51.7
2023-02-15,22.0,28.9
